symbol,category,problem
ISRG,unsupported company fact,Company description: 'maker of robotic surgical systems' is not in glossary.backgrounds[ISRG]; replaced with the medical-instruments / minimally-invasive-care wording the background actually carries.
ISRG,count wrong,"Source count: the entry row has three positioning sources (FINRA daily short-volume ratio, bi-weekly short-interest change, days-to-cover), not two; corrected in both the headline and the caveat."
JNJ,count wrong,"Caveat was wrong three ways: the row has three FINRA positioning legs, not two; they do not disagree 'by construction' (the daily short-volume ratio at the 74th and the short-interest change at the 25th both vote long here, while days-to-cover at the 62nd votes short); and only the short-interest change and days-to-cover come from the bi-weekly report — the short-volume ratio is daily. Rewritten."
ORCL,ranking/ordering wrong,"Size claim wrong: ORCL's $3,059 target is the third-largest line in the batch (MDLZ $4,260, LRCX $3,648 are larger), not 'one of the two largest'; |z| -2.26 likewise ranks third behind 3.14 and -2.69. Rewritten as 'the third-largest line in this batch.'"
SCHW,magnitude/arithmetic wrong,"Body overstated the driver of the one-day score move: si_change_pct's vote swung -0.078 of a total -0.151 change (about 52%), so ""Almost all of that came from one source"" is wrong - corrected to ""About half"". (news_sentiment -0.035 and options_volume -0.025 supplied most of the rest.)"
SO,history/timeline wrong,"Body said ""the reading is one day old"" in the same sentence that puts the 2nd-percentile reading at today; entry_date 2026-09-11 equals the latest row and age_bdays is 0, so the entry row IS today's - reworded to ""entry was today, so no follow-up row exists yet""."
SPG,ranking/ordering wrong,"Headline claimed ""its two largest sources vote against"": the two largest contributions by size are days_to_cover (-0.047, a dissent) and gdelt_sentiment (+0.0398, a driver), so only the largest one dissents - headline corrected."
SPG,ranking/ordering wrong,"Body claimed ""Both dissenters are bigger than any single driver"": wiki_attention's -0.0396 is marginally SMALLER than gdelt_sentiment's +0.0398 (both 0.040 at 3 dp), so it is level with the largest driver, not above it - sentence corrected."
UBER,ranking/ordering wrong,"Headline called edgar_insider_net ""the batch's largest dissent"": at +0.038 it is the largest contribution within UBER's own entry, but SPG's days_to_cover (0.047) and UPS's days_to_cover / si_change_pct (0.041) are larger dissents in this batch - rewritten to claim only what is true of UBER."
UBER,unsupported company fact,"Opening company sentence stated business lines (""ride-hail, delivery and freight applications"") that are not in glossary.backgrounds[UBER]; replaced with the background's own description (Technology / Software - Application, proprietary technology applications)."
UBER,count wrong,"""The two FINRA sources point opposite ways"" implied only two FINRA sources voted; three did (finra_short_ratio, si_change_pct, days_to_cover) - changed to ""Two of the three FINRA sources""."
